Title,Cast,Director,Headline,Runtime (Min),Genres,Production Company,Release Date,Category,Name,Winner
Eternal Sunshine of the Spotless Mind,Jim Carrey|Kate Winslet|Elijah Wood|Mark Ruffalo|Kirsten Dunst,Michel Gondry,I already forget how I used to feel about you.,108,Science Fiction|Drama|Romance,Anonymous Content|This Is That Productions|Focus Features,3/19/04,ACTRESS IN A LEADING ROLE,Kate Winslet,False
Sideways,Paul Giamatti|Thomas Haden Church|Virginia Madsen|Sandra Oh|Marylouise Burke,Alexander Payne,In search of wine. In search of women. In search of themselves.,126,Comedy|Drama|Romance,Fox Searchlight Pictures|Michael London Productions|Sideways Productions Inc.,10/22/04,ACTRESS IN A SUPPORTING ROLE,Virginia Madsen,False
Hotel Rwanda,Don Cheadle|Sophie Okonedo|Nick Nolte|Fana Mokoena|Joaquin Phoenix,Terry George,"When the world closed its eyes, he opened his arms.",121,Drama|History|War,Lions Gate Films|United Artists|Industrial Development Corporation of South Africa|Endgame Entertainment|Miracle Pictures,9/11/04,ACTRESS IN A SUPPORTING ROLE,Sophie Okonedo,False
The Incredibles,Craig T. Nelson|Holly Hunter|Samuel L. Jackson|Jason Lee|Dominique Louis,Brad Bird,"No gut, no glory",115,Action|Adventure|Animation|Family|Science Fiction,Walt Disney Pictures|Pixar Animation Studios,11/5/04,ANIMATED FEATURE FILM,Brad Bird,True
Shrek 2,Mike Myers|Eddie Murphy|Cameron Diaz|Julie Andrews|Antonio Banderas,Andrew Adamson|Kelly Asbury|Conrad Vernon,Once upon another time...,93,Adventure|Animation|Comedy|Family|Fantasy,DreamWorks SKG|Pacific Data Images (PDI)|DreamWorks Animation,5/19/04,ANIMATED FEATURE FILM,Andrew Adamson,False
The Passion of the Christ,Jim Caviezel|Maia Morgenstern|Christo Jivkov|Francesco De Vito|Monica Bellucci,Mel Gibson,"By his wounds, we were healed.",127,Drama,Icon Productions,2/25/04,CINEMATOGRAPHY,Caleb Deschanel,False
Ray,Jamie Foxx|Kerry Washington|Regina King|Harry Lennix|Clifton Powell,Taylor Hackford,The extraordinary life story of Ray Charles. A man who fought harder and went farther than anyone thought possible.,152,Drama,Universal Pictures,10/29/04,COSTUME DESIGN,Sharen Davis,False
Million Dollar Baby,Clint Eastwood|Hilary Swank|Morgan Freeman|Jay Baruchel|Mike Colter,Clint Eastwood,"Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.",132,Drama,Lakeshore Entertainment|Malpaso Productions|Epsilon Motion Pictures|Warner Bros.|Albert S. Ruddy Productions,12/14/04,DIRECTING,Clint Eastwood,True
Ray,Jamie Foxx|Kerry Washington|Regina King|Harry Lennix|Clifton Powell,Taylor Hackford,The extraordinary life story of Ray Charles. A man who fought harder and went farther than anyone thought possible.,152,Drama,Universal Pictures,10/29/04,DIRECTING,Taylor Hackford,False
Sideways,Paul Giamatti|Thomas Haden Church|Virginia Madsen|Sandra Oh|Marylouise Burke,Alexander Payne,In search of wine. In search of women. In search of themselves.,126,Comedy|Drama|Romance,Fox Searchlight Pictures|Michael London Productions|Sideways Productions Inc.,10/22/04,DIRECTING,Alexander Payne,False
Million Dollar Baby,Clint Eastwood|Hilary Swank|Morgan Freeman|Jay Baruchel|Mike Colter,Clint Eastwood,"Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.",132,Drama,Lakeshore Entertainment|Malpaso Productions|Epsilon Motion Pictures|Warner Bros.|Albert S. Ruddy Productions,12/14/04,FILM EDITING,Joel Cox,False
Ray,Jamie Foxx|Kerry Washington|Regina King|Harry Lennix|Clifton Powell,Taylor Hackford,The extraordinary life story of Ray Charles. A man who fought harder and went farther than anyone thought possible.,152,Drama,Universal Pictures,10/29/04,FILM EDITING,Paul Hirsch,False
The Passion of the Christ,Jim Caviezel|Maia Morgenstern|Christo Jivkov|Francesco De Vito|Monica Bellucci,Mel Gibson,"By his wounds, we were healed.",127,Drama,Icon Productions,2/25/04,MAKEUP,Keith Vanderlaan and Christien Tinsley,False
The Passion of the Christ,Jim Caviezel|Maia Morgenstern|Christo Jivkov|Francesco De Vito|Monica Bellucci,Mel Gibson,"By his wounds, we were healed.",127,Drama,Icon Productions,2/25/04,MUSIC (Original Score),John Debney,False
Shrek 2,Mike Myers|Eddie Murphy|Cameron Diaz|Julie Andrews|Antonio Banderas,Andrew Adamson|Kelly Asbury|Conrad Vernon,Once upon another time...,93,Adventure|Animation|Comedy|Family|Fantasy,DreamWorks SKG|Pacific Data Images (PDI)|DreamWorks Animation,5/19/04,MUSIC (Original Song),"Music by Adam Duritz, Charles Gillingham, Jim Bogios, David Immergluck, Matthew Malley and David Bryson; Lyric by Adam Duritz and Daniel Vickrey",False
The Polar Express,Tom Hanks|Michael Jeter|Eddie Deezen|Chris Coppola|Nona Gaye,Robert Zemeckis,Journey Beyond Your Imagination.,100,Animation|Adventure|Family|Fantasy,Castle Rock Entertainment|Golden Mean|Universal CGI|Shangri-La Entertainment|Playtone,11/9/04,MUSIC (Original Song),Music and Lyric by Glen Ballard and Alan Silvestri,False
Million Dollar Baby,Clint Eastwood|Hilary Swank|Morgan Freeman|Jay Baruchel|Mike Colter,Clint Eastwood,"Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.",132,Drama,Lakeshore Entertainment|Malpaso Productions|Epsilon Motion Pictures|Warner Bros.|Albert S. Ruddy Productions,12/14/04,BEST PICTURE,"Clint Eastwood, Albert S. Ruddy and Tom Rosenberg, Producers",True
Ray,Jamie Foxx|Kerry Washington|Regina King|Harry Lennix|Clifton Powell,Taylor Hackford,The extraordinary life story of Ray Charles. A man who fought harder and went farther than anyone thought possible.,152,Drama,Universal Pictures,10/29/04,BEST PICTURE,"Taylor Hackford, Stuart Benjamin and Howard Baldwin, Producers",False
